"Combined Rank","Movie","Movie ID","Director","Release Year","Letterboxd Rating (/5)","Metacritic (/100)","Average Rating (/10)","Worldwide Box Office (USD)","Budget (USD)","Original Runtime (min)","Oscars Won","Director Career Oscars Won"
"23","Autumn Sonata","card_032","Ingmar Bergman","1978","4.3","92.0","8.9","3000000.0","1500000.0","99","0","3"
"30","Goodfellas","card_033","Martin Scorsese","1990","4.4","90.0","8.9","47036784.0","25000000.0","145","1","1"
"33","Paths of Glory","card_034","Stanley Kubrick","1957","4.4","90.0","8.9","1000000.0","935000.0","88","0","0"
"1","Harakiri","card_035","Masaki Kobayashi","1962","4.6","85.0","8.85","1000000.0","400000.0","133","0","0"
"37","Incendies","card_036","Denis Villeneuve","2010","4.4","88.0","8.8","1634500.0","6800000.0","131","0","0"
"39","It's a Wonderful Life","card_037","Frank Capra","1946","4.3","89.0","8.75","6300000.0","3180000.0","130","0","3"
"45","The Lord of the Rings: The Two Towers","card_038","Peter Jackson","2002","4.4","87.0","8.75","947495095.0","94000000.0","179","2","0"
"48","Whiplash","card_039","Damien Chazelle","2014","4.3","89.0","8.75","49400000.0","3300000.0","106","3","1"
"83","In the Mood for Love","card_040","Wong Kar-wai","2000","4.4","87.0","8.75","1286168.0","15000000.0","98","0","0"
"57","Nobody Knows","card_041","Hirokazu Kore-eda","2004","4.3","88.0","8.7","3000000.0","3500000.0","141","0","0"
"60","Barry Lyndon","card_042","Stanley Kubrick","1975","4.2","89.0","8.65","20000000.0","11000000.0","185","4","0"
"68","Spider-Man: Into the Spider-Verse","card_043","Bob Persichetti, Peter Ramsey, Rodney Rothman","2018","4.3","87.0","8.65","384256930.0","90000000.0","117","1","0"
"4","Come and See","card_044","Elem Klimov","1985","4.5","82.0","8.6","25000000.0","4000000.0","142","0","0"
"24","The Dark Knight","card_045","Christopher Nolan","2008","4.4","84.0","8.6","1006238897.0","185000000.0","152","2","2"
"56","Spider-Man: Across the Spider-Verse","card_046","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","2023","4.3","86.0","8.6","690000000.0","100000000.0","140","0","0"
"76","Persona","card_047","Ingmar Bergman","1966","4.3","86.0","8.6","1000000.0","200000.0","83","0","3"
"8","The Shawshank Redemption","card_048","Frank Darabont","1994","4.5","81.0","8.55","28884504.0","25000000.0","142","0","0"
"28","Woman in the Dunes","card_049","Hiroshi Teshigahara","1964","4.3","85.0","8.55","500000.0","250000.0","147","0","0"
"59","The Pianist","card_050","Roman Polanski","2002","4.3","85.0","8.55","120072577.0","35000000.0","150","3","1"
"64","The Empire Strikes Back","card_051","Irvin Kershner","1980","4.4","82.0","8.5","538375067.0","18000000.0","124","2","0"
"71","The Handmaiden","card_052","Park Chan-wook","2016","4.3","84.0","8.5","37962731.0","8600000.0","145","0","0"
"94","One Flew Over the Cuckoo's Nest","card_053","Milos Forman","1975","4.3","83.0","8.45","108981275.0","4400000.0","133","5","2"
"19","Cinema Paradiso","card_054","Giuseppe Tornatore","1988","4.4","80.0","8.4","11990401.0","5000000.0","155","1","1"
"52","Memories of Murder","card_055","Bong Joon Ho","2003","4.3","82.0","8.4","11600000.0","2800000.0","132","0","3"
"74","Once Upon a Time in the West","card_056","Sergio Leone","1968","4.3","82.0","8.4","5321508.0","5000000.0","165","0","0"
"10","City of God","card_057","Fernando Meirelles","2002","4.4","79.0","8.35","30641770.0","3300000.0","130","0","0"
"84","Dune: Part Two","card_058","Denis Villeneuve","2024","4.3","79.0","8.25","714444358.0","190000000.0","166","2","0"
"88","Paris, Texas","card_059","Wim Wenders","1984","4.3","78.0","8.2","2189290.0","2000000.0","145","0","0"
"92","Oldboy","card_060","Park Chan-wook","2003","4.3","78.0","8.2","15400000.0","3000000.0","120","0","0"
"27","The End of Evangelion","card_061","Hideaki Anno, Kazuya Tsurumaki","1997","4.3","77.0","8.15","19300000.0","3000000.0","87","0","0"
"70","Farewell My Concubine","card_062","Chen Kaige","1993","4.3","77.0","8.15","5212000.0","4000000.0","171","2","0"
"82","An Elephant Sitting Still","card_063","Hu Bo","2018","4.2","79.0","8.15","500000.0","150000.0","234","0","0"
"72","Princess Mononoke","card_064","Hayao Miyazaki","1997","4.3","76.0","8.1","159375308.0","23500000.0","133","0","1"
"80","Paper Moon","card_065","Peter Bogdanovich","1973","4.2","77.0","8.05","13100000.0","2500000.0","102","1","0"
"38","Interstellar","card_066","Christopher Nolan","2014","4.3","74.0","8.0","681000000.0","165000000.0","169","1","2"
"75","Love Exposure","card_067","Sion Sono","2008","4.3","71.0","7.85","500000.0","1000000.0","237","0","0"
"21","La Haine","card_068","Mathieu Kassovitz","1995","4.4","68.0","7.8","1572565.0","2500000.0","98","0","0"
"87","Good Will Hunting","card_069","Gus Van Sant","1997","4.2","70.0","7.7","225810763.0","10000000.0","126","2","0"
"98","Inglourious Basterds","card_070","Quentin Tarantino","2009","4.2","69.0","7.65","321457549.0","70000000.0","153","1","2"
"93","Se7en","card_071","David Fincher","1995","4.3","65.0","7.55","32731118.0","33000000.0","127","0","0"
"61","Life Is Beautiful","card_072","Roberto Benigni","1997","4.2","59.0","7.15","230098753.0","20000000.0","116","3","1"
"22","A Brighter Summer Day","card_073","Edward Yang","1991","4.4","","4.4","200000.0","1000000.0","237","0","0"
"32","The Cranes Are Flying","card_074","Mikhail Kalatozov","1957","4.4","","4.4","5000000.0","500000.0","95","1","0"
"34","I Am Cuba","card_075","Mikhail Kalatozov","1964","4.3","","4.3","200000.0","1000000.0","141","0","0"
"44","The Ascent","card_076","Larisa Shepitko","1977","4.3","","4.3","1000000.0","500000.0","111","0","0"
"51","Mishima: A Life in Four Chapters","card_077","Paul Schrader","1985","4.3","","4.3","500000.0","5000000.0","120","0","0"
"53","Close-Up","card_078","Abbas Kiarostami","1990","4.3","","4.3","100000.0","20000.0","98","0","0"
"54","The Red Shoes","card_079","Michael Powell, Emeric Pressburger","1948","4.3","","4.3","5000000.0","800000.0","133","3","0"
"55","Red Beard","card_080","Akira Kurosawa","1965","4.3","","4.3","3000000.0","2000000.0","185","0","0"
"58","Nights of Cabiria","card_081","Federico Fellini","1957","4.3","","4.3","1000000.0","400000.0","118","1","0"
"63","Stalker","card_082","Andrei Tarkovsky","1979","4.3","","4.3","1000000.0","1000000.0","162","0","0"
"67","A Woman Under the Influence","card_083","John Cassavetes","1974","4.3","","4.3","1500000.0","800000.0","155","0","0"
"78","Satantango","card_084","Bela Tarr","1994","4.3","","4.3","100000.0","300000.0","439","0","0"
"79","Perfect Blue","card_085","Satoshi Kon","1997","4.3","","4.3","800000.0","1500000.0","81","0","0"
"81","Scenes from a Marriage","card_086","Ingmar Bergman","1974","4.3","","4.3","2000000.0","500000.0","169","0","3"
"85","Where Is the Friend's House?","card_087","Abbas Kiarostami","1987","4.3","","4.3","200000.0","50000.0","83","0","0"
"86","Sherlock Jr.","card_088","Buster Keaton","1924","4.3","","4.3","500000.0","190000.0","45","0","0"
"91","Apur Sansar","card_089","Satyajit Ray","1959","4.3","","4.3","300000.0","60000.0","105","0","1"
"97","It's Such a Beautiful Day","card_090","Don Hertzfeldt","2012","4.3","","4.3","100000.0","30000.0","62","0","0"
"62","Witness for the Prosecution","card_091","Billy Wilder","1957","4.2","","4.2","9000000.0","3000000.0","116","0","6"
"69","Eternity and a Day","card_092","Theo Angelopoulos","1998","4.2","","4.2","2000000.0","4000000.0","137","1","0"
"89","Swing Girls","card_093","Shinobu Yaguchi","2004","4.2","","4.2","15000000.0","3000000.0","105","0","0"
"95","Landscape in the Mist","card_094","Theo Angelopoulos","1988","4.2","","4.2","500000.0","2000000.0","127","0","0"
"2","The Human Condition III: A Soldier's Prayer","card_095","Masaki Kobayashi","1961","4.5","","","1000000.0","500000.0","190","0","0"
"9","The Human Condition I: No Greater Love","card_096","Masaki Kobayashi","1959","4.5","","","1000000.0","500000.0","208","0","0"
"20","Le Trou","card_097","Jacques Becker","1960","4.4","","","1000000.0","300000.0","132","0","0"
"25","The Human Condition II: Road to Eternity","card_098","Masaki Kobayashi","1959","4.5","","","1000000.0","500000.0","179","0","0"
"73","The Voice of Hind Rajab","card_099","Kaouther Ben Hania","2025","4.3","","","500000.0","2000000.0","89","0","0"
"100","Nirvana the Band the Show the Movie","card_100","Matt Johnson","2024","4.1","","","100000.0","500000.0","102","0","0"
